light_count,shadows,visibility,effective_visibility,lighting_path,build_configuration,run_index,frame,device,driver,commit,width,height,validation_enabled,validation_errors,submitted_local_lights,omitted_local_lights,requested_local_shadow_faces,rendered_local_shadow_faces,dropped_shadow_faces,shadow_atlas_full_drops,shadow_tiles,draw_calls,gpu_bytes,gpu_main_raster_ms,gpu_post_raster_ms,gpu_post_visible,visibility_counters_valid,gpu_sun_shadow_ms,gpu_local_shadow_ms,gpu_shadow_ms,gpu_ms,cpu_ms,readback_cpu_ms,source_csv,acquisition_index
32,off,direct,direct,forward,Release,1,13,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.533856,0.000000,0,0,0.000000,0.000000,0.000000,1.757632,3.677777,1.268252,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,14,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.532480,0.000000,0,0,0.000000,0.000000,0.000000,1.901728,3.703947,0.972344,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,15,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.533440,0.000000,0,0,0.000000,0.000000,0.000000,2.306720,3.863367,1.034061,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,16,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.534528,0.000000,0,0,0.000000,0.000000,0.000000,2.065056,3.715378,1.015255,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,17,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.534272,0.000000,0,0,0.000000,0.000000,0.000000,2.317312,3.883315,1.079797,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,18,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.534144,0.000000,0,0,0.000000,0.000000,0.000000,2.373984,3.971591,1.057836,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,19,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.533312,0.000000,0,0,0.000000,0.000000,0.000000,1.956864,3.463794,1.018761,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,20,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.532864,0.000000,0,0,0.000000,0.000000,0.000000,2.330720,3.911739,1.037838,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,21,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.532768,0.000000,0,0,0.000000,0.000000,0.000000,1.757184,3.215706,0.981923,shadows-off_direct_lights-032_run-1.csv,1
32,off,direct,direct,forward,Release,1,22,NVIDIA GeForce RTX 2080 Ti,NVIDIA-595.84,029ccb181a7a6352856df564cc98815a34397388,1920,1080,0,0,32,0,0,0,0,0,0,10,59572736,0.533408,0.000000,0,0,0.000000,0.000000,0.000000,2.022400,3.513117,0.986982,shadows-off_direct_lights-032_run-1.csv,1
